x_sun,y_sun,z_sun,x_earth,y_earth,z_earth,x_moon,y_moon,z_moon
-13248.9102089268,-97190042103.9355,-97049837840.9532,206491.649929358,111546208451.274,111919748575.308,7.83691878525964,-30949279.144648,-12109180.4240097
-14298.4947248036,-98408786433.8327,-98318059177.8303,210963.236264709,110494266130.638,110884722290.235,7.7105118097168,-31542277.8940283,-8304388.29433671
-15383.2882502412,-99615929525.1682,-99576370124.3611,215474.357701941,109429404913.868,109829809656.217,7.5729200074415,-32126515.9276534,-4908898.53326429
-16503.7107220318,-100811344458.094,-100823722172.388,220024.619901286,108351755461.152,108755062614.385,7.4239553747486,-32701134.958445,-1987373.11083965
-17660.1775199825,-101994905723.215,-102059075496.312,224613.624104235,107261448555.598,107660642679.594,7.26343139678775,-33265385.2469558,404306.878236538
-18853.0994213972,-103166489053.178,-103281413870.213,229240.967189038,106158615154.676,106546815258.197,7.09116307916148,-33818632.3351881,2219587.58516768
-20082.8825563037,-104325971413.402,-104489746633.681,233906.241726662,105043386435.388,105413944462.996,6.90696697962774,-34360354.2023092,3421010.4072988
-21349.9283634275,-105473230955.601,-105683113658.191,238609.036037102,103915893787.856,104262492110.681,6.71066123790175,-34890144.4751724,3980472.08645544
-22751.494085579,-106690620698.633,-106946038676.959,243696.860666682,102692490942.719,103006837470.922,6.48633056173508,-35445081.2483007,3847212.03274679
-24196.9101775832,-107893647926.686,-108189630560.357,248826.892725986,101455280199.063,101731233442.803,6.24762693768118,-35985783.8936573,2946115.42084079
-25686.6543396464,-109082165514.715,-109412919814.057,253998.607611612,100204425129.18,100436582040.982,5.99433191878789,-36512231.9750898,1281432.25995285
-27221.1978200599,-110256027318.98,-110615031774.172,259211.475398944,98940089679.8096,99123898832.4824,5.72622928646517,-37024586.4995588,-1127902.69923054
-28801.0053582949,-111415088003.356,-111795202262.188,264464.960925373,97662438376.651,97794294065.1517,5.44310507210229,-37523184.1041549,-4248742.94360854
-30426.5351292779,-112559202895.4,-112952790789.022,269758.523874089,96371636584.0935,96448949293.257,5.14474757521222,-38008525.0981241,-8034702.45741381
-32098.2386888397,-113688227963.284,-114087283907.093,275091.618858443,95067850485.5309,95089116694.783,4.83094738093314,-38481275.4392878,-12425995.5817255
